"matchID","gameNumber","gameWasPlayed","map","team1Score","team2Score","team1Distance","team2Distance","team1FastestFinish","team2FastestFinish","team1FastestPointACap","team2FastestPointACap","otKey"
"2381","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2381","4","1","Numbani","3","0","0","8630","00:04:59","00:00:00","00:01:03","00:00:00",NULL
"2382","1","1","Dorado","3","2","0","7892","00:07:31","00:00:00","00:02:30","00:02:41",NULL
"2382","2","1","Horizon Lunar Colony","1","1","9230","9240","00:00:00","00:00:00","00:00:51","00:01:15",NULL
"2382","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2382","4","1","Eichenwalde","3","3","0","3300","00:08:42","00:06:09","00:01:26","00:01:03",NULL
"2382","5","1","Lijiang Tower","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2383","1","1","Junkertown","2","2","9125","9126","00:00:00","00:00:00","00:01:00","00:01:23",NULL
"2383","2","1","Horizon Lunar Colony","3","3","4040","4030","00:02:53","00:05:10","00:01:05","00:01:11",NULL
"2383","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2383","4","1","Numbani","1","1","9458","9459","00:00:00","00:00:00","00:01:32","00:01:36",NULL
"2384","1","1","Volskaya Industries","2","0","0","0","00:01:54","00:00:00","00:01:04","00:00:00",NULL
"2384","2","1","Nepal","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2384","3","1","Hollywood","3","3","0","3300","00:08:43","00:05:24","00:02:57","00:00:50",NULL
"2384","4","1","Route 66","3","1","0","9059","00:09:29","00:00:00","00:02:01","00:03:17",NULL
"2385","1","1","Hanamura","3","3","3300","0","00:05:24","00:06:20","00:01:16","00:01:19",NULL
"2385","2","1","Nepal","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2385","3","1","King's Row","3","1","0","10427","00:04:11","00:00:00","00:00:43","00:02:31",NULL
"2385","4","1","Watchpoint: Gibraltar","2","1","8365","6481","00:00:00","00:00:00","00:01:59","00:03:19",NULL
"2386","1","1","Volskaya Industries","3","3","0","3300","00:06:36","00:07:46","00:02:21","00:00:46",NULL
"2386","2","1","Nepal","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2386","3","1","King's Row","3","3","3300","0","00:03:27","00:08:38","00:00:48","00:01:13",NULL
"2386","4","1","Route 66","1","1","6096","6097","00:00:00","00:00:00","00:02:16","00:02:25",NULL
"2386","5","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2387","1","1","Hanamura","4","4","3920","3910","00:03:21","00:03:06","00:00:48","00:01:29",NULL
"2387","2","1","Lijiang Tower","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2387","3","1","King's Row","3","2","0","3769","00:09:22","00:00:00","00:02:19","00:00:58",NULL
"2387","4","1","Watchpoint: Gibraltar","3","1","0","8099","00:05:20","00:00:00","00:01:16","00:01:13",NULL
"2388","1","1","Hanamura","1","1","4920","4930","00:00:00","00:00:00","00:03:18","00:00:59",NULL
"2388","2","1","Lijiang Tower","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2388","3","1","Hollywood","3","3","0","3300","00:06:57","00:06:11","00:02:07","00:00:49",NULL
"2388","4","1","Watchpoint: Gibraltar","4","5","7705","6658","00:04:17","00:05:50","00:01:03","00:01:16",NULL
"2389","1","1","Temple of Anubis","2","0","0","0","00:02:43","00:00:00","00:01:42","00:00:00",NULL
"2389","2","1","Numbani","3","2","0","6798","00:04:45","00:00:00","00:01:08","00:04:38",NULL
"2389","3","1","Nepal","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2389","4","1","Junkertown","3","0","0","5873","00:09:38","00:00:00","00:02:01","00:00:00",NULL
"2390","1","1","Volskaya Industries","3","3","0","3300","00:06:45","00:02:26","00:00:52","00:01:08",NULL
"2390","2","1","Numbani","3","3","3440","3430","00:07:49","00:09:17","00:00:40","00:01:30",NULL
"2390","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2390","4","1","Junkertown","3","1","0","8284","00:08:55","00:00:00","00:03:01","00:03:03",NULL
"2391","1","1","Volskaya Industries","2","2","0","3300","00:08:20","00:02:56","00:01:26","00:02:04",NULL
"2391","2","1","Blizzard World","1","1","11321","11322","00:00:00","00:00:00","00:01:47","00:03:29",NULL
"2391","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2391","4","1","Route 66","2","2","7300","7301","00:00:00","00:00:00","00:01:18","00:04:02",NULL
"2392","1","1","Volskaya Industries","1","1","6300","6310","00:00:00","00:00:00","00:02:42","00:01:15",NULL
"2392","2","1","Blizzard World","4","3","5936","0","00:08:35","00:07:11","00:02:16","00:03:00",NULL
"2392","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2392","4","1","Route 66","3","2","0","6481","00:06:48","00:00:00","00:01:29","00:01:34",NULL
"2392","5","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2393","1","1","Temple of Anubis","2","1","0","6600","00:06:09","00:00:00","00:03:04","00:04:06",NULL
"2393","2","1","Blizzard World","1","1","10927","10928","00:00:00","00:00:00","00:03:36","00:00:59",NULL
"2393","3","1","Nepal","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2393","4","1","Route 66","1","0","8883","6286","00:00:00","00:00:00","00:02:17","00:00:00",NULL
"2393","5","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2394","1","1","Blizzard World","3","1","0","7517","00:04:02","00:00:00","00:00:51","00:01:36",NULL
"2394","2","1","Horizon Lunar Colony","0","0","5880","5890","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2394","3","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2394","4","1","Watchpoint: Gibraltar","4","4","4853","4852","00:04:36","00:05:57","00:02:14","00:01:38",NULL
"2394","5","1","Nepal","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2395","1","1","King's Row","2","2","5133","5134","00:00:00","00:00:00","00:01:15","00:02:29",NULL
"2395","2","1","Hanamura","2","2","3300","0","00:03:29","00:04:03","00:01:32","00:02:56",NULL
"2395","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2395","4","1","Dorado","3","2","0","6657","00:06:34","00:00:00","00:01:45","00:03:05",NULL
"2396","1","1","King's Row","3","2","0","4014","00:06:22","00:00:00","00:01:31","00:00:51",NULL
"2396","2","1","Hanamura","0","0","8560","8570","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2396","3","1","Lijiang Tower","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2396","4","1","Dorado","1","1","9215","9216","00:00:00","00:00:00","00:03:00","00:01:07",NULL
"2397","1","1","King's Row","3","2","0","6777","00:06:01","00:00:00","00:01:30","00:00:57",NULL
"2397","2","1","Hanamura","3","3","0","0","00:06:43","00:08:01","00:00:48","00:01:55",NULL
"2397","3","1","Oasis","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2397","4","1","Watchpoint: Gibraltar","3","1","0","7846","00:04:13","00:00:00","00:01:09","00:03:06",NULL
"2398","1","1","King's Row","3","0","0","6430","00:05:23","00:00:00","00:02:24","00:00:00",NULL
"2398","2","1","Horizon Lunar Colony","2","1","0","5000","00:06:09","00:00:00","00:03:05","00:04:05",NULL
"2398","3","1","Lijiang Tower","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2398","4","1","Watchpoint: Gibraltar","4","4","7729","7728","00:06:54","00:08:10","00:01:07","00:01:08",NULL
"2399","1","1","Junkertown","8","7","2404","4856","00:04:05","00:04:15","00:01:19","00:01:01",NULL
"2399","2","1","Horizon Lunar Colony","5","5","0","0","00:01:58","00:01:27","00:01:04","00:00:50",NULL
"2399","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2399","4","1","Numbani","3","0","0","0","00:05:06","00:00:00","00:01:40","00:00:00",NULL
"2400","1","1","Dorado","2","2","5480","5481","00:00:00","00:00:00","00:01:21","00:01:59",NULL
"2400","2","1","Temple of Anubis","2","2","0","3300","00:07:09","00:04:34","00:01:58","00:01:10",NULL
"2400","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2400","4","1","Eichenwalde","1","1","11905","11906","00:00:00","00:00:00","00:01:46","00:01:21",NULL
"2401","1","1","Junkertown","2","1","9853","8247","00:00:00","00:00:00","00:01:10","00:04:00",NULL
"2401","2","1","Horizon Lunar Colony","0","0","4890","4891","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2401","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2401","4","1","Numbani","3","2","0","8247","00:06:54","00:00:00","00:03:05","00:01:17",NULL
"2402","1","1","Junkertown","3","2","0","9561","00:08:04","00:00:00","00:01:19","00:02:15",NULL
"2402","2","1","Horizon Lunar Colony","2","0","0","0","00:07:17","00:00:00","00:04:22","00:00:00",NULL
"2402","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2402","4","1","Numbani","3","0","0","0","00:04:41","00:00:00","00:01:54","00:00:00",NULL
"2403","1","1","Junkertown","2","2","10027","10028","00:00:00","00:00:00","00:01:51","00:01:28",NULL
"2403","2","1","Temple of Anubis","2","1","0","0","00:06:17","00:00:00","00:01:09","00:02:43",NULL
"2403","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2403","4","1","Numbani","3","1","0","9503","00:04:12","00:00:00","00:00:55","00:00:55",NULL
"2404","1","1","Junkertown","4","3","2389","2985","00:07:47","00:07:41","00:01:20","00:01:32",NULL
"2404","2","1","Horizon Lunar Colony","2","2","3300","0","00:01:47","00:08:53","00:00:54","00:02:06",NULL
"2404","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2404","4","1","Numbani","3","0","0","7450","00:06:18","00:00:00","00:00:55","00:00:00",NULL
"2405","1","1","Dorado","1","0","8364","7683","00:00:00","00:00:00","00:03:04","00:00:00",NULL
"2405","2","1","Temple of Anubis","1","1","0","3300","00:00:00","00:00:00","00:03:29","00:02:30",NULL
"2405","3","1","Oasis","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2405","4","1","Eichenwalde","3","3","0","0","00:08:36","00:06:07","00:01:02","00:01:18",NULL
"2406","1","1","Dorado","1","1","8232","8233","00:00:00","00:00:00","00:01:38","00:02:38",NULL
"2406","2","1","Horizon Lunar Colony","1","1","8280","8281","00:00:00","00:00:00","00:00:52","00:03:55",NULL
"2406","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2406","4","1","Eichenwalde","2","2","2754","2755","00:00:00","00:00:00","00:01:36","00:03:46",NULL
"2407","1","1","Junkertown","3","0","0","3311","00:01:38","00:00:00","00:01:40","00:00:00",NULL
"2407","2","1","Horizon Lunar Colony","2","1","0","0","00:02:21","00:00:00","00:01:30","00:03:10",NULL
"2407","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2407","4","1","Numbani","3","1","0","9592","00:03:12","00:00:00","00:00:46","00:03:43",NULL
"2408","1","1","Junkertown","0","0","8919","8920","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2408","2","1","Horizon Lunar Colony","1","1","0","3300","00:00:00","00:00:00","00:02:25","00:01:10",NULL
"2408","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2408","4","1","Eichenwalde","1","1","9310","9311","00:00:00","00:00:00","00:00:45","00:02:31",NULL
"2409","1","1","Junkertown","3","1","0","6028","00:08:42","00:00:00","00:01:05","00:03:07",NULL
"2409","2","1","Horizon Lunar Colony","1","0","4600","6600","00:00:00","00:00:00","00:00:53","00:00:00",NULL
"2409","3","1","Oasis","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2409","4","1","Numbani","3","3","0","0","00:05:15","00:08:05","00:01:21","00:03:25",NULL
"2410","1","1","Junkertown","2","1","9779","6631","00:08:00","00:00:00","00:02:13","00:03:18",NULL
"2410","2","1","Temple of Anubis","2","2","3300","0","00:06:54","00:08:02","00:01:34","00:02:41",NULL
"2410","3","1","Ilios","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2410","4","1","Numbani","2","2","6673","6674","00:00:00","00:00:00","00:02:32","00:01:04",NULL
"2410","5","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2411","1","1","Junkertown","3","2","0","3808","00:07:51","00:00:00","00:01:27","00:01:14",NULL
"2411","2","1","Horizon Lunar Colony","2","1","0","0","00:04:49","00:00:00","00:01:38","00:01:47",NULL
"2411","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2411","4","1","Numbani","3","2","0","6911","00:06:46","00:00:00","00:01:18","00:04:23",NULL
"2412","1","1","Dorado","1","1","5140","5141","00:00:00","00:00:00","00:04:42","00:01:14",NULL
"2412","2","1","Temple of Anubis","1","1","3520","3530","00:00:00","00:00:00","00:04:26","00:01:51",NULL
"2412","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2412","4","1","Numbani","2","2","7159","7160","00:00:00","00:00:00","00:00:54","00:01:16",NULL
"2413","1","1","Junkertown","3","2","0","9202","00:07:54","00:00:00","00:01:41","00:02:45",NULL
"2413","2","1","Horizon Lunar Colony","2","0","0","3300","00:05:48","00:00:00","00:02:03","00:00:00",NULL
"2413","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2413","4","1","Numbani","3","3","3300","0","00:06:29","00:08:29","00:02:17","00:01:10",NULL
"2414","1","1","Dorado","1","1","9617","9618","00:00:00","00:00:00","00:02:07","00:01:18",NULL
"2414","2","1","Horizon Lunar Colony","2","2","0","3300","00:08:32","00:08:44","00:00:55","00:02:48",NULL
"2414","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2414","4","1","Eichenwalde","3","1","0","12163","00:09:11","00:00:00","00:01:11","00:04:01",NULL
"2414","5","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2415","1","1","Dorado","0","0","7303","7304","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2415","2","1","Horizon Lunar Colony","1","1","9700","9710","00:00:00","00:00:00","00:01:08","00:01:25",NULL
"2415","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2415","4","1","Eichenwalde","1","1","7649","7650","00:00:00","00:00:00","00:04:04","00:00:53",NULL
"2416","1","1","Dorado","2","2","7502","7503","00:00:00","00:00:00","00:01:18","00:01:46",NULL
"2416","2","1","Horizon Lunar Colony","2","0","0","0","00:04:24","00:00:00","00:02:33","00:00:00",NULL
"2416","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2416","4","1","Eichenwalde","3","1","0","12647","00:05:57","00:00:00","00:01:03","00:04:41",NULL
"2416","5","1","Lijiang Tower","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2417","1","1","Eichenwalde","0","0","5030","5040","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2417","2","1","Horizon Lunar Colony","0","0","8970","8980","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2417","3","1","Oasis","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2417","4","1","Junkertown","1","1","7352","7353","00:00:00","00:00:00","00:03:14","00:03:00",NULL
"2418","1","1","Numbani","2","2","9549","9550","00:00:00","00:00:00","00:04:22","00:02:57",NULL
"2418","2","1","Temple of Anubis","1","1","5420","5430","00:00:00","00:00:00","00:02:56","00:01:13",NULL
"2418","3","1","Oasis","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2418","4","1","Dorado","2","1","6596","9371","00:00:00","00:00:00","00:04:17","00:01:31",NULL
"2419","1","1","Eichenwalde","3","1","0","12565","00:08:24","00:00:00","00:03:07","00:02:33",NULL
"2419","2","1","Horizon Lunar Colony","2","0","0","0","00:07:23","00:00:00","00:00:55","00:00:00",NULL
"2419","3","1","Ilios","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2419","4","1","Junkertown","3","3","5575","5576","00:09:36","00:07:07","00:05:02","00:01:23",NULL
"2419","5","1","Lijiang Tower","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2420","1","1","Numbani","4","4","2969","2970","00:08:17","00:08:03","00:00:45","00:00:56",NULL
"2420","2","1","Temple of Anubis","2","2","3300","0","00:01:49","00:06:56","00:01:07","00:02:38",NULL
"2420","3","1","Ilios","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2420","4","1","Junkertown","2","2","9089","9090","00:00:00","00:00:00","00:00:53","00:02:54",NULL
"2420","5","1","Lijiang Tower","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2421","1","1","Numbani","1","1","9398","9399","00:00:00","00:00:00","00:02:16","00:03:40",NULL
"2421","2","1","Temple of Anubis","2","1","0","0","00:05:55","00:00:00","00:03:37","00:03:45",NULL
"2421","3","1","Ilios","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2421","4","1","Dorado","1","1","8936","8585","00:00:00","00:00:00","00:02:05","00:01:24",NULL
"2421","5","1","Lijiang Tower","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2422","1","1","Numbani","2","1","6690","9307","00:00:00","00:00:00","00:01:33","00:03:00",NULL
"2422","2","1","Horizon Lunar Colony","2","0","0","0","00:02:30","00:00:00","00:01:08","00:00:00",NULL
"2422","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2422","4","1","Junkertown","3","0","0","0","00:05:12","00:00:00","00:01:09","00:00:00",NULL
"2423","1","1","Eichenwalde","1","1","11472","11473","00:00:00","00:00:00","00:02:57","00:00:45",NULL
"2423","2","1","Horizon Lunar Colony","5","4","4700","4900","00:02:59","00:02:27","00:01:16","00:00:52",NULL
"2423","3","1","Oasis","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2423","4","1","Junkertown","1","0","8147","5798","00:00:00","00:00:00","00:04:29","00:00:00",NULL
"2423","5","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2424","1","1","Eichenwalde","0","0","3640","3650","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2424","2","1","Horizon Lunar Colony","2","2","0","3300","00:08:26","00:03:55","00:03:27","00:01:37",NULL
"2424","3","1","Oasis","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2424","4","1","Junkertown","2","2","9346","9308","00:00:00","00:00:00","00:04:43","00:01:06",NULL
"2424","5","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2425","1","1","Eichenwalde","3","3","0","0","00:08:44","00:04:06","00:01:04","00:00:55",NULL
"2425","2","1","Horizon Lunar Colony","3","2","3790","0","00:05:28","00:03:39","00:01:21","00:01:45",NULL
"2425","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2425","4","1","Junkertown","3","1","0","8048","00:07:28","00:00:00","00:04:11","00:02:57",NULL
"2426","1","1","Numbani","6","4","0","4477","00:03:32","00:06:37","00:00:55","00:01:15",NULL
"2426","2","1","Temple of Anubis","2","2","0","3300","00:06:55","00:01:36","00:00:56","00:00:52",NULL
"2426","3","1","Ilios","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2426","4","1","Dorado","3","0","0","7301","00:02:29","00:00:00","00:01:10","00:00:00",NULL
"2426","5","1","Lijiang Tower","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2427","1","1","Eichenwalde","3","2","0","6472","00:04:50","00:00:00","00:00:59","00:02:48",NULL
"2427","2","1","Temple of Anubis","2","0","0","0","00:05:43","00:00:00","00:01:57","00:00:00",NULL
"2427","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2427","4","1","Dorado","2","2","8431","8432","00:00:00","00:00:00","00:02:54","00:02:05",NULL
"2428","1","1","Numbani","3","3","0","3300","00:06:45","00:03:39","00:02:13","00:00:36",NULL
"2428","2","1","Temple of Anubis","0","0","0","3300","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2428","3","1","Ilios","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2428","4","1","Dorado","0","0","6891","6892","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2429","1","1","Numbani","2","2","6638","6584","00:00:00","00:00:00","00:00:50","00:00:55",NULL
"2429","2","1","Temple of Anubis","4","4","3300","0","00:03:05","00:03:10","00:01:12","00:02:19",NULL
"2429","3","1","Oasis","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2429","4","1","Dorado","3","2","0","7365","00:06:08","00:00:00","00:01:36","00:01:12",NULL
"2430","1","1","Eichenwalde","1","1","12552","12553","00:00:00","00:00:00","00:03:00","00:04:06",NULL
"2430","2","1","Horizon Lunar Colony","0","0","6530","6540","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2430","3","1","Oasis","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2430","4","1","Junkertown","3","2","0","7916","00:08:34","00:00:00","00:03:50","00:04:22",NULL
"2431","1","1","Numbani","3","2","0","6649","00:08:33","00:00:00","00:02:15","00:02:15",NULL
"2431","2","1","Temple of Anubis","2","1","0","0","00:04:25","00:00:00","00:01:52","00:04:32",NULL
"2431","3","1","Oasis","1","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2431","4","1","Dorado","2","0","7455","8496","00:00:00","00:00:00","00:00:55","00:00:00",NULL
"2432","1","1","Eichenwalde","1","0","12348","9390","00:00:00","00:00:00","00:01:34","00:00:00",NULL
"2432","2","1","Temple of Anubis","2","2","3860","3850","00:03:07","00:06:58","00:01:39","00:01:02",NULL
"2432","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2432","4","1","Dorado","2","2","8247","7011","00:00:00","00:00:00","00:01:09","00:04:25",NULL
"2433","1","1","Eichenwalde","3","1","0","12593","00:07:32","00:00:00","00:01:26","00:01:35",NULL
"2433","2","1","Temple of Anubis","2","1","0","0","00:05:58","00:00:00","00:00:51","00:02:37",NULL
"2433","3","1","Oasis","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2433","4","1","Dorado","3","0","0","7666","00:05:18","00:00:00","00:01:25","00:00:00",NULL
"2434","1","1","Numbani","2","0","6264","0","00:00:00","00:00:00","00:03:27","00:00:00",NULL
"2434","2","1","Temple of Anubis","2","0","0","0","00:06:06","00:00:00","00:03:24","00:00:00",NULL
"2434","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2434","4","1","Dorado","3","2","0","6235","00:05:51","00:00:00","00:02:15","00:02:23",NULL
"2435","1","1","Numbani","3","3","3300","0","00:05:16","00:08:21","00:00:48","00:02:55",NULL
"2435","2","1","Temple of Anubis","2","1","0","0","00:04:08","00:00:00","00:01:14","00:02:37",NULL
"2435","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2435","4","1","Junkertown","3","2","0","9075","00:10:02","00:00:00","00:03:49","00:00:56",NULL
"2436","1","1","Eichenwalde","2","2","6427","6428","00:00:00","00:00:00","00:04:05","00:01:06",NULL
"2436","2","1","Horizon Lunar Colony","2","1","0","0","00:08:05","00:00:00","00:04:15","00:01:10",NULL
"2436","3","1","Ilios","2","0","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2436","4","1","Junkertown","2","2","9129","9130","00:00:00","00:00:00","00:01:42","00:01:08",NULL
"2436","5","1","Lijiang Tower","2","1","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
"2437","1","1","Numbani","1","1","9413","9414","00:00:00","00:00:00","00:03:38","00:00:46",NULL
"2437","2","1","Temple of Anubis","1","1","0","3300","00:00:00","00:00:00","00:03:10","00:01:35",NULL
"2437","3","1","Oasis","0","2","0","0","00:00:00","00:00:00","00:00:00","00:00:00",NULL
